NewQuestion,MC,
QuestionText,What does type(Animal) return when Animal is a user-defined class?,
Option,0,<class 'Animal'>
Option,100,<class 'type'>
Option,0,<class 'object'>
Option,0,<class 'instance'>

NewQuestion,MC,
QuestionText,What does a class object's __dict__ contain?,
Option,100,The names and values assigned at the top level of the class body
Option,0,Only the names assigned to instances created from the class
Option,0,A list of all superclasses in the class tree
Option,0,Only the names explicitly exported with __all__

NewQuestion,MC,
QuestionText,"In the demo, id(Animal) is printed before any instances are created. What does this confirm?",
Option,0,That Animal is stored in the same location as its instances
Option,0,That Animal's id changes every time an instance is created
Option,100,That a class object exists in memory before any instances are made from it
Option,0,That id() cannot be used on class objects

NewQuestion,MC,
QuestionText,"A student creates two instances: a1 = Animal() and a2 = Animal(), then assigns a1.name = 'Rex' and a2.name = 'Luna'. Which statement is true about their __dict__ attributes?",
Option,0,Both instances share the same __dict__ because they come from the same class
Option,0,"a1.__dict__ contains name and speak; a2.__dict__ contains only name"
Option,0,Neither instance has a __dict__; all attributes live in the class
Option,100,Each instance has its own __dict__ containing only the names assigned directly to it

NewQuestion,MC,
QuestionText,"When Python resolves an attribute reference on an instance, where does it look first?",
Option,100,The instance's own __dict__
Option,0,The class's __dict__
Option,0,The object built-in class
Option,0,The module where the class is defined

NewQuestion,MC,
QuestionText,What does __mro__ stand for and what does it describe?,
Option,0,Method Return Object; the value returned by each method in the class
Option,0,Module Resolution Order; the order in which Python searches imported modules
Option,100,Method Resolution Order; the sequence Python follows when searching for an attribute in a class tree
Option,0,Method Registration Object; a registry of all methods defined in a class

NewQuestion,MC,
QuestionText,What class sits at the top of every Python class tree?,
Option,0,type
Option,100,object
Option,0,Animal
Option,0,base

NewQuestion,MC,
QuestionText,"In the demo, __repr__ is searched for in Animal.__mro__ and found in object not in Animal. What does this demonstrate?",
Option,0,That __repr__ must be explicitly imported before it can be used
Option,0,That Animal has no string representation unless one is defined
Option,0,That object overrides any __repr__ defined in subclasses
Option,100,That classes inherit default behaviors from object when they do not define their own

NewQuestion,MC,
QuestionText,When does __init__ run?,
Option,0,Only when explicitly called by the programmer
Option,0,Once when the class is defined not when instances are created
Option,0,Only when the instance is printed or converted to a string
Option,100,Automatically each time an instance is created from the class

NewQuestion,MC,
QuestionText,What is self in a method definition?,
Option,100,The first argument of a method filled in automatically by Python with the instance the method is called on
Option,0,A keyword that Python reserves for the class itself
Option,0,A reference to the class object not the instance
Option,0,A copy of the instance created at the start of each method call

NewQuestion,MC,
QuestionText,"In the demo, id(dog) is printed outside a method and id(self) is printed inside a method called on dog. The two values are identical. What does this confirm?",
