NewQuestion,MC,
QuestionText,"What does the `is` operator test in Python?",
Option,100,"Whether two names refer to the same object (identity)",
Option,0,"Whether two values have the same contents (equality)",
Option,0,"Whether two objects have the same type",
Option,0,"Whether two objects print the same output",

NewQuestion,MC,
QuestionText,"What does the `==` operator test for most built-in types?",
Option,0,"Whether two names refer to the same object (identity)",
Option,100,"Whether two objects have the same value (equality)",
Option,0,"Whether two objects have the same memory address",
Option,0,"Whether two objects were created on the same line",

NewQuestion,MC,
QuestionText,"Consider x = [1, 2] and y = [1, 2]. Which result is correct?",
Option,0,"x is y is True; x == y is False",
Option,0,"x is y is True; x == y is True",
Option,100,"x is y is False; x == y is True",
Option,0,"x is y is False; x == y is False",

NewQuestion,MC,
QuestionText,"Consider a = [1, 2, 3] and b = a. Which result is correct?",
Option,0,"a is b is False; a == b is True",
Option,0,"a is b is False; a == b is False",
Option,0,"a is b is True; a == b is False",
Option,100,"a is b is True; a == b is True",

NewQuestion,MC,
QuestionText,"Consider nums = [10, 20, 30]; alias = nums; nums = nums + [40]. After this code, which statement is true?",
Option,100,"nums is alias is False",
Option,0,"nums is alias is True",
Option,0,"alias is now [10, 20, 30, 40]; nums is unchanged",
Option,0,"nums and alias both refer to the original list object",

NewQuestion,MC,
QuestionText,"Consider nums = [10, 20, 30]; alias = nums; nums += [40]. After this code, which statement is true for lists?",
Option,0,"nums is alias is False",
Option,100,"nums is alias is True",
Option,0,"nums refers to a new list object; alias refers to the old one",
Option,0,"alias becomes None",

NewQuestion,MC,
QuestionText,"For lists, what does nums = nums + [x] do?",
Option,0,"Mutates the existing list in place",
Option,0,"Appends x to the existing list without creating a new list",
Option,100,"Creates a new list containing the old items followed by x; then rebinds nums",
Option,0,"Raises a TypeError because + cannot be used with lists",

NewQuestion,MC,
QuestionText,"For lists, what does nums += [x] typically do?",
Option,0,"Always creates a brand-new list object",
Option,0,"Always raises an exception",
Option,0,"Works only if nums is empty",
Option,100,"Mutates the existing list object in place (for lists)",

NewQuestion,MC,
QuestionText,"Consider data = [0, 1, 2, 3, 4, 5]; data[2:5] = ["a", "b"]. What is the resulting list?",
Option,100,"[0, 1, "a", "b", 5]",
Option,0,"[0, 1, 2, "a", "b", 3, 4, 5]",
Option,0,"[0, 1, "a", "b", 4, 5]",
Option,0,"["a", "b", 0, 1, 2, 3, 4, 5]",

NewQuestion,MC,
QuestionText,"What does the slice notation start:stop mean in a list slice?",
Option,0,"Include stop but exclude start",
Option,100,"Include start and exclude stop",
Option,0,"Exclude both start and stop",
Option,0,"Include both start and stop",

NewQuestion,MC,
QuestionText,"Consider row = [0, 0]; grid = [row] * 3; grid[0][0] = 99. What is grid?",
Option,0,"[[99, 0], [0, 0], [0, 0]]",
Option,0,"[[0, 0], [99, 0], [0, 0]]",
Option,100,"[[99, 0], [99, 0], [99, 0]]",
Option,0,"[[0, 0], [0, 0], [99, 0]]",

NewQuestion,MC,
QuestionText,"Which construction creates three independent inner lists?",
Option,0,"grid = [[0, 0]] * 3",
Option,0,"grid = [[0, 0]] + [[0, 0]] + [[0, 0]]",
Option,0,"grid = [[0, 0]] * 3",
Option,100,"grid = [[0, 0] for _ in range(3)]",

NewQuestion,MC,
QuestionText,"Why can [inner] * n be a problem when inner is a list?",
Option,100,"It repeats references to the same inner list object",
Option,0,"It creates n deep copies of the inner list",
Option,0,"It sorts the list n times",
Option,0,"It converts the list into a tuple",

NewQuestion,MC,
QuestionText,"What is the main difference between a list and a tuple?",
Option,0,"Lists can store only numbers; tuples can store any type",
Option,100,"Lists are mutable; tuples are immutable",
Option,0,"Tuples are faster for membership tests than sets",
Option,0,"Lists cannot be nested; tuples can be nested",

NewQuestion,MC,
QuestionText,"What happens when you try to assign to a tuple element?",
Option,0,"The tuple grows automatically",
Option,0,"The assignment is ignored",
Option,100,"Python raises a TypeError",
Option,0,"Python converts the tuple to a list automatically",

NewQuestion,MC,
QuestionText,"Consider record = ("Ada", "Lovelace", 1815); record[0] = "ADA". What happens?",
Option,0,"record becomes ("ADA", "Lovelace", 1815)",
Option,0,"record becomes ["ADA", "Lovelace", 1815]",
Option,0,"record becomes ("Ada", "Lovelace", 1815, "ADA")",
Option,100,"Python raises a TypeError",

NewQuestion,MC,
QuestionText,"In modern Python, what does "dictionary insertion order" mean?",
Option,100,"Iteration follows the order keys were added",
Option,0,"Keys are automatically sorted alphabetically",
Option,0,"Values are automatically sorted numerically",
Option,0,"Iteration order is random each time",

NewQuestion,MC,
QuestionText,"Given d = {"b": 2, "a": 1, "c": 3}, what does list(d.keys()) typically show?",
Option,0,"["a", "b", "c"]",
Option,100,"["b", "a", "c"]",
Option,0,"["c", "b", "a"]",
Option,0,"It raises a TypeError because keys() is not iterable",

NewQuestion,MC,
QuestionText,"What does "k" in d test for a dictionary d?",
Option,0,"Whether "k" appears as a value in d",
Option,0,"Whether "k" appears in the string form of d",
Option,100,"Whether "k" is a key in d",
Option,0,"Whether "k" is both a key and a value in d",

NewQuestion,MC,
QuestionText,"What does d.get("missing", 30) do when "missing" is not a key?",
