NewQuestion,MC,
QuestionText,"Question 1 (see handout)",
Option,0,"A",
Option,0,"B",
Option,100,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 2 (see handout)",
Option,0,"A",
Option,0,"B",
Option,0,"C",
Option,100,"D",

NewQuestion,MC,
QuestionText,"Question 3 (see handout)",
Option,100,"A",
Option,0,"B",
Option,0,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 4 (see handout)",
Option,0,"A",
Option,0,"B",
Option,0,"C",
Option,100,"D",

NewQuestion,MC,
QuestionText,"Question 5 (see handout)",
Option,0,"A",
Option,100,"B",
Option,0,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 6 (see handout)",
Option,0,"A",
Option,0,"B",
Option,100,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 7 (see handout)",
Option,0,"A",
Option,0,"B",
Option,0,"C",
Option,100,"D",

NewQuestion,MC,
QuestionText,"Question 8 (see handout)",
Option,0,"A",
Option,0,"B",
Option,0,"C",
Option,100,"D",

NewQuestion,MC,
QuestionText,"Question 9 (see handout)",
Option,0,"A",
Option,100,"B",
Option,0,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 10 (see handout)",
Option,100,"A",
Option,0,"B",
Option,0,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 11 (see handout)",
Option,0,"A",
Option,0,"B",
Option,100,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 12 (see handout)",
Option,0,"A",
Option,0,"B",
Option,0,"C",
Option,100,"D",

NewQuestion,MC,
QuestionText,"Question 13 (see handout)",
Option,0,"A",
Option,100,"B",
Option,0,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 14 (see handout)",
Option,0,"A",
Option,0,"B",
Option,100,"C",
Option,0,"D",

NewQuestion,MC,
QuestionText,"Question 15 (see handout)",
Option,0,"A",
Option,0,"B",
Option,100,"C",
Option,0,"D",

