NewQuestion,MC,
QuestionText,"What does Python's conceptual hierarchy describe?",
Option,0,"The order in which Python executes lines of code",
Option,100,"How programs are organized: programs contain modules, modules contain statements, statements contain expressions, expressions create objects",
Option,0,"The inheritance structure of Python classes",
Option,0,"How Python memory is allocated from high to low addresses",

NewQuestion,MC,
QuestionText,"In Python's hierarchy, what do modules contain?",
Option,0,"Programs",
Option,0,"Only functions and classes",
Option,0,"Expressions only",
Option,100,"Statements",

NewQuestion,MC,
QuestionText,"After importing a module with import math, which code would confirm that the module is an object?",
Option,0,"print(math)",
Option,0,"import type(math)",
Option,100,"print(type(math))",
Option,0,"print(object(math))",

NewQuestion,MC,
QuestionText,"What distinguishes an expression from a statement in Python?",
Option,0,"Expressions are longer than statements",
Option,100,"An expression produces a value; a statement performs an action but does not produce a value",
Option,0,"Statements can only appear inside functions",
Option,0,"Expressions must contain operators; statements cannot",

NewQuestion,MC,
QuestionText,"Which of the following is an expression?",
Option,0,"x = 10",
Option,100,"len('hello')",
Option,0,"import math",
Option,0,"def greet(): pass",

NewQuestion,MC,
QuestionText,"Why can't you use x = 10 directly as an argument to print()?",
Option,0,"Python doesn't allow variable names inside print()",
Option,0,"The syntax is only valid inside loops",
Option,0,"You must use quotes around the assignment",
Option,100,"Assignment with = is a statement, not an expression, so it doesn't produce a value to pass",

NewQuestion,MC,
QuestionText,"Which of the following can appear anywhere a value is expected?",
Option,100,"Expressions",
Option,0,"Statements",
Option,0,"Both expressions and statements",
Option,0,"Neither expressions nor statements",

NewQuestion,MC,
QuestionText,"Which of the following is NOT a Python statement?",
Option,0,"if x > 0: pass",
Option,100,"3 + 4",
Option,0,"import sys",
Option,0,"del x",

NewQuestion,MC,
QuestionText,"The keywords if, for, while, def, and class all introduce what kind of statement?",
Option,0,"Simple statements",
Option,0,"Expression statements",
Option,100,"Compound statements (statements that contain other statements)",
Option,0,"Assignment statements",

NewQuestion,MC,
QuestionText,"Why does Python use indentation to define code blocks?",
Option,100,"So the visual structure of code matches its logical structure—what you see is what Python sees",
Option,0,"Because braces are reserved for dictionaries only",
Option,0,"To make Python code run faster than other languages",
Option,0,"Because Guido van Rossum preferred tabs over spaces",

NewQuestion,MC,
QuestionText,"What happens when you run this code: if True:\n    print('a')\n  print('b')",
Option,0,"It prints 'a' then 'b' on separate lines",
Option,0,"It prints only 'a' because the second print is outside the block",
Option,0,"It prints 'a' and 'b' on the same line",
Option,100,"Python raises an IndentationError due to inconsistent indentation",

NewQuestion,MC,
QuestionText,"In Python, the colon (:) at the end of a line signals that:",
Option,0,"The line is a comment",
Option,100,"An indented block of code follows",
Option,0,"A dictionary is being created",
Option,0,"The statement continues on the next line",

NewQuestion,MC,
QuestionText,"Which of the following does Python NOT require that many other languages do?",
Option,100,"Braces {} to delimit code blocks",
Option,0,"Colons to start blocks",
Option,0,"Indentation for nested code",
Option,0,"Keywords like if and while",

NewQuestion,MC,
QuestionText,"What is the output of: x = 5; y = 3; print(x + y)",
Option,100,"8",
Option,0,"5 3",
Option,0,"x + y",
Option,0,"This causes a SyntaxError because semicolons are not allowed",

NewQuestion,MC,
QuestionText,"Which is the preferred way to continue a long statement across multiple lines?",
Option,0,"Use a backslash at the end of each line",
Option,0,"Use a semicolon to connect the lines",
Option,100,"Use open brackets (parentheses, square brackets, or braces) which allow implicit continuation",
Option,0,"Python does not allow statements to span multiple lines",

NewQuestion,MC,
QuestionText,"What does a backslash (\) at the end of a line do in Python?",
Option,0,"Starts a comment",
Option,0,"Escapes the newline character in a string",
Option,100,"Continues the current statement on the next line",
Option,0,"Indicates the end of a code block",

NewQuestion,MC,
QuestionText,"How can you write multiple simple statements on a single line?",
Option,100,"Separate them with semicolons: a = 1; b = 2; c = 3",
Option,0,"Separate them with commas: a = 1, b = 2, c = 3",
Option,0,"Separate them with colons: a = 1: b = 2: c = 3",
Option,0,"Python does not allow multiple statements on one line",

NewQuestion,MC,
QuestionText,"What does the assignment x = 5 do in Python?",
Option,0,"Creates a variable container and stores 5 inside it",
Option,100,"Binds the name x to the integer object 5",
Option,0,"Declares x as an integer type",
Option,0,"Copies the value 5 into memory location x",

NewQuestion,MC,
QuestionText,"What values do x and y have after: x, y = (10, 20)?",
Option,0,"x = (10, 20), y = (10, 20)",
Option,0,"x = 20, y = 10",
Option,0,"This raises an error because tuples can't be unpacked",
Option,100,"x = 10, y = 20",

NewQuestion,MC,
QuestionText,"What is the value of rest after: first, *rest = [1, 2, 3, 4]?",
Option,100,"[2, 3, 4]",
Option,0,"(2, 3, 4)",
Option,0,"[1, 2, 3, 4]",
Option,0,"4",

NewQuestion,MC,
QuestionText,"After running: data = (10, 20, 30, 40); first, *rest = data — what is type(rest)?",
Option,0,"<class 'tuple'>",
Option,100,"<class 'list'>",
Option,0,"<class 'int'>",
Option,0,"<class 'iterator'>",

NewQuestion,MC,
QuestionText,"What are the values after: first, *middle, last = [1, 2, 3, 4, 5]?",
Option,0,"first = 1, middle = (2, 3, 4), last = 5",
Option,0,"first = [1], middle = [2, 3, 4], last = [5]",
Option,0,"This raises an error because you can only use * at the end",
Option,100,"first = 1, middle = [2, 3, 4], last = 5",

NewQuestion,MC,
QuestionText,"What is middle after: first, *middle, last = [1, 2]?",
Option,0,"None",
Option,0,"This raises an error because there aren't enough elements",
Option,100,"[] (an empty list)",
Option,0,"[1, 2]",

NewQuestion,MC,
QuestionText,"What is init after: *init, last = [10, 20, 30, 40]?",
Option,0,"40",
Option,0,"[10, 20, 30, 40]",
Option,0,"(10, 20, 30)",
Option,100,"[10, 20, 30]",

NewQuestion,MC,
QuestionText,"What is x after: x = 7; x += 3?",
Option,0,"7",
Option,0,"3",
Option,0,"73",
Option,100,"10",

NewQuestion,MC,
QuestionText,"For a list nums, how does nums += [4] differ from nums = nums + [4]?",
Option,0,"They are identical in all cases",
Option,0,"+= creates a new list; = ... + modifies in place",
Option,0,"+= only works with numbers, not lists",
Option,100,"+= modifies the list in place; = ... + creates a new list and rebinds the name",

NewQuestion,MC,
QuestionText,"What is x after: x = 17; x //= 5?",
Option,0,"3.4",
Option,100,"3",
Option,0,"17",
Option,0,"2",

NewQuestion,MC,
QuestionText,"After a = b = c = 0, how many integer objects exist?",
Option,0,"Three—one for each variable",
Option,0,"Zero—the assignment hasn't completed yet",
Option,100,"One—all three names refer to the same object",
Option,0,"It depends on the Python implementation",

NewQuestion,MC,
QuestionText,"What happens after a = b = [] followed by a.append(1)?",
Option,100,"Both a and b are [1] because they reference the same list",
Option,0,"a is [1] and b is [] because they are independent",
Option,0,"This raises an error because you can't chain assignments with lists",
Option,0,"a is [1] and b is None",

NewQuestion,MC,
QuestionText,"What does the walrus operator (:=) do?",
Option,0,"Compares two values for equality",
Option,100,"Assigns a value to a name AND returns that value, making assignment an expression",
Option,0,"Declares a constant that cannot be changed",
Option,0,"Creates a deep copy of an object",

NewQuestion,MC,
QuestionText,"Why was the walrus operator added to Python?",
Option,0,"To replace the regular = assignment operator",
Option,0,"To make Python syntax more like C",
Option,0,"To enable multi-line strings",
Option,100,"To allow assigning a value and using it in the same expression, avoiding redundant computation",

NewQuestion,MC,
QuestionText,"What is the value of n after: if (n := len([1, 2, 3])) > 2: pass?",
Option,100,"3",
