NewQuestion,MS,
QuestionText,"Which statements are true about identity and equality?",
Option,1,"`is` is about whether two names refer to the same object",
Option,1,"`==` is about whether two objects have the same value",
Option,0,"If `x == y` is True, then `x is y` must be True",
Option,0,"`is` compares the printed output of objects",
Option,0,"`==` compares memory addresses only",

NewQuestion,MS,
QuestionText,"Which operations can mutate a list in place (for lists)?",
Option,1,"nums += [40]",
Option,1,"nums.append(40)",
Option,0,"nums = nums + [40]",
Option,0,"nums = nums * 2",
Option,1,"nums.extend([40])",

NewQuestion,MS,
QuestionText,"Which statements are true about slice assignment?",
Option,1,"A slice uses the form start:stop",
Option,1,"Slice assignment can change the length of a list",
Option,0,"Slice assignment always creates a new list object",
Option,1,"Slice assignment changes the existing list object in place",
Option,0,"Slice assignment works only on tuples",

NewQuestion,MS,
QuestionText,"Which nested-list constructions create repeated references to the same inner list?",
Option,1,"grid = [[0, 0]] * 3",
Option,1,"row = [0, 0]; grid = [row] * 3",
Option,0,"grid = [[0, 0] for _ in range(3)]",
Option,0,"grid = [ [0, 0], [0, 0], [0, 0] ]",
Option,0,"grid = list([[0, 0] for _ in range(3)])",

NewQuestion,MS,
QuestionText,"Which statements are true about dictionaries?",
Option,1,"`"k" in d` tests whether "k" is a key in d",
Option,1,"`d.get("missing", 30)` returns 30 if the key is missing",
Option,1,"`update` mutates the dictionary it is called on",
Option,0,"Dictionaries automatically sort keys alphabetically",
Option,0,"Dictionaries cannot be nested",

NewQuestion,MS,
QuestionText,"Which statements are true about sets?",
Option,1,"Sets store unique values (duplicates are removed)",
Option,1,"Sets are useful for membership tests with `in`",
Option,0,"Sets keep items in a guaranteed positional order",
Option,1,"Set elements must be hashable",
Option,0,"Lists can be elements of a set",

NewQuestion,MS,
QuestionText,"Which statements are true about tuples?",
Option,1,"Tuples are immutable sequences",
Option,1,"Tuple indexing works like list indexing",
Option,0,"You can assign to a tuple element to change it",
Option,1,"Attempting item assignment on a tuple raises TypeError",
Option,0,"Tuples cannot contain mixed types",

NewQuestion,MS,
QuestionText,"Which statements are true about copying nested lists?",
Option,1,"A shallow copy can share inner lists with the original",
Option,1,"`copy.deepcopy` creates independent nested objects",
Option,0,"Slicing a nested list always deep-copies inner lists",
Option,1,"Mutating a shared inner list can affect multiple structures",
Option,0,"Deep copy is required for all lists, even flat lists",

NewQuestion,MS,
QuestionText,"Which statements are true about `pathlib.Path` and relative paths?",
Option,1,"`Path("file.txt")` is relative to the current working directory",
Option,1,"`write_text` can create the file if it doesn't exist",
Option,0,"`read_text` will always create the file if it doesn't exist",
Option,1,"Not including a folder means "use the current working directory"",
Option,0,"`Path` objects can only represent folders, not files",

NewQuestion,MS,
QuestionText,"Which statements are true about common errors in these topics?",
Option,1,"Putting a list inside a set literal raises a TypeError (unhashable type)",
Option,1,"Assigning to a tuple element raises a TypeError",
Option,1,"Calling `Path.read_text()` on a missing file raises FileNotFoundError",
Option,0,"`d.get("missing")` raises KeyError by default",
Option,0,"`x is y` compares values, not identity",

